Patch	Experiment ID	Treatment	Glyphosate	TiO2	Time	FvFm	NDVI
3	15	b	1	0	4	0.54	0.11
3	16	f	2	1	4	0.15	0.11
3	17	d	0	1	4	0.4	0.11
3	18	e	1	1	4	0.27	0.14
4	19	c	2	0	4	0.34	0.12
4	20	a	0	0	4	0.28	0.08
4	21	e	1	1	4	0.17	0.13
4	22	b	1	0	4	0.26	0.10
4	23	f	2	1	4	0.28	0.09
4	24	d	0	1	4	0.2	0.13
5	25	c	2	0	4	0.19	0.07
5	26	b	1	0	4	0.24	0.07
5	27	e	1	1	4	0.28	0.12
5	28	a	0	0	4	0.16	0.07
5	29	d	0	1	4	0.23	0.09
5	30	f	2	1	4	0.3	0.07
6	31	e	1	1	4	0.2	0.10
6	32	d	0	1	4	0.17	0.09
6	33	c	2	0	4	0.17	0.09
6	34	b	1	0	4	0.15	0.09
6	35	a	0	0	4	0.33	0.12
6	36	f	2	1	4	0.2	0.11
7	37	f	2	1	4	0.24	0.07
7	38	d	0	1	4	0.34	0.08
7	39	e	1	1	4	0.26	0.07
7	40	c	2	0	4	0.34	0.07
7	41	b	1	0	4	0.2	0.06
7	42	a	0	0	4	0.16	0.09
1	1	b	1	0	5	0.12	0.08
1	2	e	1	1	5	0.15	0.09
1	3	d	0	1	5	0.14	0.08
1	4	c	2	0	5	0.2	0.09
1	5	a	0	0	5	0.19	0.08
1	6	f	2	1	5	0.26	0.09
2	7	f	2	1	5	0.13	0.08
2	8	c	2	0	5	0.14	0.08
2	9	d	0	1	5	0.08	0.08
2	10	a	0	0	5	0.06	0.08
2	11	e	1	1	5	0.09	0.08
2	12	b	1	0	5	0.11	0.07
3	13	c	2	0	5	0.13	0.07
3	14	a	0	0	5	0.14	0.07
3	15	b	1	0	5	0.09	0.06
3	16	f	2	1	5	0.15	0.05
3	17	d	0	1	5	0.13	0.08
3	18	e	1	1	5	0.11	0.09
4	19	c	2	0	5	0.18	0.09
4	20	a	0	0	5	0.09	0.06
4	21	e	1	1	5	0.11	0.10
4	22	b	1	0	5	0.16	0.07
4	23	f	2	1	5	0.13	0.06
4	24	d	0	1	5	0.17	0.08
5	25	c	2	0	5	0.24	0.05
5	26	b	1	0	5	0.22	0.08
5	27	e	1	1	5	0.11	0.09
5	28	a	0	0	5	0.12	0.07
5	29	d	0	1	5	0.16	0.06
5	30	f	2	1	5	0.16	0.05
6	31	e	1	1	5	0.24	0.10
6	32	d	0	1	5	0.13	0.08
6	33	c	2	0	5	0.16	0.06
6	34	b	1	0	5	0.09	0.07
6	35	a	0	0	5	0.07	0.07
6	36	f	2	1	5	0.11	0.07
7	37	f	2	1	5	0.16	0.06
7	38	d	0	1	5	0.15	0.05
7	39	e	1	1	5	0.11	0.10
7	40	c	2	0	5	0.07	0.05
7	41	b	1	0	5	0.13	0.06
7	42	a	0	0	5	0.07	0.06
1	1	b	1	0	6	0.06	0.09
1	2	e	1	1	6	0.15	0.08
1	3	d	0	1	6	0.11	0.10
1	4	c	2	0	6	0.2	0.07
1	5	a	0	0	6	0.16	0.06
1	6	f	2	1	6	0.19	0.08
2	7	f	2	1	6	0.17	0.06
2	8	c	2	0	6	0.12	0.07
2	9	d	0	1	6	0.02	0.08
2	10	a	0	0	6	0.13	0.06
2	11	e	1	1	6	0.11	0.03
2	12	b	1	0	6	0.12	0.10
3	13	c	2	0	6	0.08	0.04
3	14	a	0	0	6	0.11	0.08
3	15	b	1	0	6	0.12	0.08
3	16	f	2	1	6	0.16	0.09
3	17	d	0	1	6	0.06	0.08
3	18	e	1	1	6	0.1	0.06
4	19	c	2	0	6	0.06	0.08
4	20	a	0	0	6	0.12	0.08
4	21	e	1	1	6		0.08
4	22	b	1	0	6	0.09	0.11
4	23	f	2	1	6	0.14	0.09
4	24	d	0	1	6	0.13	0.07
5	25	c	2	0	6	0.07	0.08
5	26	b	1	0	6	0.12	0.03
5	27	e	1	1	6	0.11	0.04
